ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
v_bamunbamu1253,Bamun_bamu1253,bamu1253,bax,Bamun,Atlantic-Congo,5.49017,10.8477,varikin,Bamun_bamu1253.txt,NA,,NA,Varikin
v_bandjalangband1339,Bandjalang_band1339,band1339,,Bandjalangic,Pama-Nyungan,-28.3458,152.859,varikin,Bandjalang_band1339.txt,NA,,NA,Varikin
v_bannockbann1248,Bannock_bann1248,bann1248,,Bannock,Uto-Aztecan,,,varikin,Bannock_bann1248.txt,NA,,NA,Varikin
v_baribari1297,Bari_bari1297,bari1297,mot,Barí,,9.08497,-72.9353,varikin,Bari_bari1297.txt,NA,,NA,Varikin
v_basquebasq1248,Basque_basq1248,basq1248,eus,Basque,,43.2787,-1.31622,varikin,Basque_basq1248.txt,NA,,NA,Varikin
v_basquewest1508,Basque_west1508,west1508,,Western Low Navarrese,,,,varikin,Basque_west1508.txt,NA,,NA,Varikin
v_batangabata1285,Batanga_bata1285,bata1285,bnm,Batanga,Atlantic-Congo,1.397041,9.51011,varikin,Batanga_bata1285.txt,NA,,NA,Varikin
v_batstsovatushbats1242,Bats_Tsova_Tush__bats1242,bats1242,bbl,Bats,Nakh-Daghestanian,42.1806,45.344,varikin,Bats_Tsova_Tush__bats1242.txt,NA,,NA,Varikin
v_baurebaur1253,Baure_baur1253,baur1253,brg,Baure,Arawakan,-13.1278,-64.1838,varikin,Baure_baur1253.txt,NA,,NA,Varikin
v_belarusianbela1254,Belarusian_bela1254,bela1254,bel,Belarusian,Indo-European,53.2307,25.6038,varikin,Belarusian_bela1254.txt,NA,,NA,Varikin
v_bembabemb1257,Bemba_bemb1257,bemb1257,bem,Bemba (Zambia),Atlantic-Congo,-10.6122,29.2993,varikin,Bemba_bemb1257.txt,NA,,NA,Varikin
v_benatanzaniabena1262,Bena_Tanzania__bena1262,bena1262,bez,Bena (Tanzania),Atlantic-Congo,-9.26671,35.0364,varikin,Bena_Tanzania__bena1262.txt,NA,,NA,Varikin
v_bendebend1258,Bende_bend1258,bend1258,bdp,Bende,Atlantic-Congo,-6.22082,30.5926,varikin,Bende_bend1258.txt,NA,,NA,Varikin
v_bengalibeng1280,Bengali_beng1280,beng1280,ben,Bengali,Indo-European,24,90,varikin,Bengali_beng1280.txt,NA,,NA,Varikin
v_berabera1259,Bera_bera1259,bera1259,brf,Bera,Atlantic-Congo,1.50054,30.0293,varikin,Bera_bera1259.txt,NA,,NA,Varikin
v_bezhtabezh1248,Bezhta_bezh1248,bezh1248,kap,Bezhta,Nakh-Daghestanian,42.1206,46.0332,varikin,Bezhta_bezh1248.txt,NA,,NA,Varikin
v_biharibiha1245,Bihari_biha1245,biha1245,,Bihari,Indo-European,,,varikin,Bihari_biha1245.txt,NA,,NA,Varikin
v_bilabila1255,Bila_bila1255,bila1255,bip,Bila,Atlantic-Congo,1.16839,28.7626,varikin,Bila_bila1255.txt,NA,,NA,Varikin
v_bindalbind1236,Bindal_bind1236,bind1236,,Bindal-Mount Elliot,Pama-Nyungan,-19.409007,147.002766,varikin,Bindal_bind1236.txt,NA,,NA,Varikin
v_birhorbirh1242,Birhor_birh1242,birh1242,biy,Birhor,Austroasiatic,23.585,85.5611,varikin,Birhor_birh1242.txt,NA,,NA,Varikin
v_biribiri1256,Biri_biri1256,biri1256,bzr,Biri,Pama-Nyungan,-20.1494,146.67,varikin,Biri_biri1256.txt,NA,,NA,Varikin
v_bitbitt1240,Bit_bitt1240,bitt1240,bgk,Bit,Austroasiatic,21.3474,101.916,varikin,Bit_bitt1240.txt,NA,,NA,Varikin
v_boersafri1274,Boers_afri1274,afri1274,afr,Afrikaans,Indo-European,-22,30,varikin,Boers_afri1274.txt,NA,,NA,Varikin
v_bretonbret1244,Breton_bret1244,bret1244,bre,Breton,Indo-European,48.2452,-3.78934,varikin,Breton_bret1244.txt,NA,,NA,Varikin
