ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Label,Project,ProjectFile,ProjectName,EntryDate,Comment,Link
v_adnyamathanhaadny1235,Adnyamathanha,adny1235,Adnyamathanha,adt,Australia,-30.1451,138.671,Pama-Nyungan,Adnyamathanha_adny1235,varikin,Adnyamathanha_adny1235.txt,,NA,,NA
v_aghulaghu1253,Aghul,aghu1253,Aghul,agx,Eurasia,41.9242,47.5843,Nakh-Daghestanian,Aghul_aghu1253,varikin,Aghul_aghu1253.txt,,NA,,NA
v_aguarunaagua1253,Aguaruna,agua1253,Aguaruna,agr,South America,-5.30044,-77.9218,,Aguaruna_agua1253,varikin,Aguaruna_agua1253.txt,,NA,,NA
v_akhvakhnorthernakhvakhakhv1239,Akhvakh,akhv1239,Akhvakh,akv,Eurasia,42.4003,46.3037,Nakh-Daghestanian,Akhvakh_Northern_Akhvakh__akhv1239,varikin,Akhvakh_Northern_Akhvakh__akhv1239.txt,,NA,,NA
v_akkadianakka1240,Akkadian,akka1240,Akkadian,akk,Eurasia,33.1,44.1,Afro-Asiatic,Akkadian_akka1240,varikin,Akkadian_akka1240.txt,,NA,,NA
v_albanianalba1267,Albanian,alba1267,Albanian,sqi,Eurasia,NA,NA,Indo-European,Albanian_alba1267,varikin,Albanian_alba1267.txt,,NA,,NA
v_albaniantosktosk1239,Northern Tosk Albanian,tosk1239,Northern Tosk Albanian,als,Eurasia,41,20,Indo-European,Albanian_Tosk__tosk1239,varikin,Albanian_Tosk__tosk1239.txt,,NA,,NA
v_alyawarralya1239,Alyawarr,alya1239,Alyawarr,aly,Australia,-21.0427,136.835,Pama-Nyungan,Alyawarr_alya1239,varikin,Alyawarr_alya1239.txt,,NA,,NA
v_amharicamha1245,Amharic,amha1245,Amharic,amh,Africa,11.708182,39.543456,Afro-Asiatic,Amharic_amha1245,varikin,Amharic_amha1245.txt,,NA,,NA
v_amisamis1246,Amis,amis1246,Amis,ami,Papunesia,23.0917,121.348,Austronesian,Amis_amis1246,varikin,Amis_amis1246.txt,,NA,,NA
